Year,Area,Party,Candidate votes,Total votes,Vote share
2016,Illinois,Other,87286,5242014,0.016651233667060027
2014,Illinois,Republican,2135216,5242014,0.407327412708169
2015,Illinois,Republican,2135216,5242014,0.407327412708169
2016,Illinois,Republican,2135216,5242014,0.407327412708169
2014,Indiana,Democrat,1152887,2624534,0.43927302904058396
2015,Indiana,Democrat,1152887,2624534,0.43927302904058396
2016,Indiana,Democrat,1152887,2624534,0.43927302904058396
2014,Indiana,Other,51104,2624534,0.01947164715717152
2015,Indiana,Other,51104,2624534,0.01947164715717152
2016,Indiana,Other,51104,2624534,0.01947164715717152
2014,Indiana,Republican,1420543,2624534,0.5412553238022445
2015,Indiana,Republican,1420543,2624534,0.5412553238022445
2016,Indiana,Republican,1420543,2624534,0.5412553238022445
2014,Iowa,Democrat,822544,1582180,0.5198801653414908
2015,Iowa,Democrat,822544,1582180,0.5198801653414908
2016,Iowa,Democrat,822544,1582180,0.5198801653414908
2014,Iowa,Other,29019,1582180,0.018341149553148188
2015,Iowa,Other,29019,1582180,0.018341149553148188
2016,Iowa,Other,29019,1582180,0.018341149553148188
2014,Iowa,Republican,730617,1582180,0.46177868510536096
2015,Iowa,Republican,730617,1582180,0.46177868510536096
2016,Iowa,Republican,730617,1582180,0.46177868510536096
2014,Kansas,Democrat,440726,1159971,0.3799457055391902
2015,Kansas,Democrat,440726,1159971,0.3799457055391902
2016,Kansas,Democrat,440726,1159971,0.3799457055391902
2014,Kansas,Other,26611,1159971,0.022941090768648528
2015,Kansas,Other,26611,1159971,0.022941090768648528
2016,Kansas,Other,26611,1159971,0.022941090768648528
2014,Kansas,Republican,692634,1159971,0.5971132036921613
2015,Kansas,Republican,692634,1159971,0.5971132036921613
2016,Kansas,Republican,692634,1159971,0.5971132036921613
2014,Kentucky,Democrat,679370,1797212,0.37801327834445797
2015,Kentucky,Democrat,679370,1797212,0.37801327834445797
2016,Kentucky,Democrat,679370,1797212,0.37801327834445797
2014,Kentucky,Other,30652,1797212,0.017055305662325868
2015,Kentucky,Other,30652,1797212,0.017055305662325868
2016,Kentucky,Other,30652,1797212,0.017055305662325868
2014,Kentucky,Republican,1087190,1797212,0.6049314159932162
2015,Kentucky,Republican,1087190,1797212,0.6049314159932162
2016,Kentucky,Republican,1087190,1797212,0.6049314159932162
2014,Louisiana,Democrat,809141,1994065,0.4057746362330215
2015,Louisiana,Democrat,809141,1994065,0.4057746362330215
2016,Louisiana,Democrat,809141,1994065,0.4057746362330215
2014,Louisiana,Other,32662,1994065,0.016379606482236034
2015,Louisiana,Other,32662,1994065,0.016379606482236034
2016,Louisiana,Other,32662,1994065,0.016379606482236034
2014,Louisiana,Republican,1152262,1994065,0.5778457572847425
2015,Louisiana,Republican,1152262,1994065,0.5778457572847425
2016,Louisiana,Republican,1152262,1994065,0.5778457572847425
2014,Maine,Democrat,401306,724758,0.5537103419348252
2015,Maine,Democrat,401306,724758,0.5537103419348252
2016,Maine,Democrat,401306,724758,0.5537103419348252
2014,Maine,Other,31176,724758,0.04301573766691778
2015,Maine,Other,31176,724758,0.04301573766691778
2016,Maine,Other,31176,724758,0.04301573766691778
2014,Maine,Republican,292276,724758,0.40327392039825705
2015,Maine,Republican,292276,724758,0.40327392039825705
2016,Maine,Republican,292276,724758,0.40327392039825705
2014,Maryland,Democrat,1677844,2707327,0.6197419077931849
2015,Maryland,Democrat,1677844,2707327,0.6197419077931849
2016,Maryland,Democrat,1677844,2707327,0.6197419077931849
2014,Maryland,Other,57614,2707327,0.021280768817361184
2015,Maryland,Other,57614,2707327,0.021280768817361184
2016,Maryland,Other,57614,2707327,0.021280768817361184
2014,Maryland,Republican,971869,2707327,0.3589773233894539
2015,Maryland,Republican,971869,2707327,0.3589773233894539
2016,Maryland,Republican,971869,2707327,0.3589773233894539
2014,Massachusetts,Democrat,1921290,3184196,0.6033830832021647
2015,Massachusetts,Democrat,1921290,3184196,0.6033830832021647
2016,Massachusetts,Democrat,1921290,3184196,0.6033830832021647
2014,Massachusetts,Other,74592,3184196,0.023425693644486708
2015,Massachusetts,Other,74592,3184196,0.023425693644486708
2016,Massachusetts,Other,74592,3184196,0.023425693644486708
2014,Massachusetts,Republican,1188314,3184196,0.37319122315334863
2015,Massachusetts,Republican,1188314,3184196,0.37319122315334863
2016,Massachusetts,Republican,1188314,3184196,0.37319122315334863
2014,Michigan,Democrat,2564569,4730961,0.5420820421051875
2015,Michigan,Democrat,2564569,4730961,0.5420820421051875
2016,Michigan,Democrat,2564569,4730961,0.5420820421051875
2014,Michigan,Other,51136,4730961,0.010808797620610273
2015,Michigan,Other,51136,4730961,0.010808797620610273
2016,Michigan,Other,51136,4730961,0.010808797620610273
2014,Michigan,Republican,2115256,4730961,0.4471091602742022
2015,Michigan,Republican,2115256,4730961,0.4471091602742022
2016,Michigan,Republican,2115256,4730961,0.4471091602742022
2014,Minnesota,Democrat,1546167,2936561,0.5265230315324626
2015,Minnesota,Democrat,1546167,2936561,0.5265230315324626
2016,Minnesota,Democrat,1546167,2936561,0.5265230315324626
2014,Minnesota,Other,70169,2936561,0.02389495740085086
2015,Minnesota,Other,70169,2936561,0.02389495740085086
2016,Minnesota,Other,70169,2936561,0.02389495740085086
2014,Minnesota,Republican,1320225,2936561,0.4495820110666865
2015,Minnesota,Republican,1320225,2936561,0.4495820110666865
2016,Minnesota,Republican,1320225,2936561,0.4495820110666865
2014,Mississippi,Democrat,562949,1285584,0.4378935954398935
2015,Mississippi,Democrat,562949,1285584,0.4378935954398935
2016,Mississippi,Democrat,562949,1285584,0.4378935954398935
2014,Mississippi,Other,11889,1285584,0.009247937124295261
2015,Mississippi,Other,11889,1285584,0.009247937124295261
2016,Mississippi,Other,11889,1285584,0.009247937124295261
2014,Mississippi,Republican,710746,1285584,0.5528584674358112
2015,Mississippi,Republican,710746,1285584,0.5528584674358112
2016,Mississippi,Republican,710746,1285584,0.5528584674358112
2014,Missouri,Democrat,1223796,2757323,0.4438348354545333
2015,Missouri,Democrat,1223796,2757323,0.4438348354545333
2016,Missouri,Democrat,1223796,2757323,0.4438348354545333
2014,Missouri,Other,51087,2757323,0.018527753186695937
2015,Missouri,Other,51087,2757323,0.018527753186695937
2016,Missouri,Other,51087,2757323,0.018527753186695937
2014,Missouri,Republican,1482440,2757323,0.5376374113587709
2015,Missouri,Republican,1482440,2757323,0.5376374113587709
2016,Missouri,Republican,1482440,2757323,0.5376374113587709
2014,Montana,Democrat,201839,484048,0.41698137374805805
2015,Montana,Democrat,201839,484048,0.41698137374805805
2016,Montana,Democrat,201839,484048,0.41698137374805805
2014,Montana,Other,14281,484048,0.029503272402736917
2015,Montana,Other,14281,484048,0.029503272402736917
2016,Montana,Other,14281,484048,0.029503272402736917
2014,Montana,Republican,267928,484048,0.553515353849205
2015,Montana,Republican,267928,484048,0.553515353849205
2016,Montana,Republican,267928,484048,0.553515353849205
2014,Nebraska,Democrat,302081,794379,0.38027314417928976
2015,Nebraska,Democrat,302081,794379,0.38027314417928976
2016,Nebraska,Democrat,302081,794379,0.38027314417928976
2014,Nebraska,Other,17234,794379,0.021694934030229904
2015,Nebraska,Other,17234,794379,0.021694934030229904
2016,Nebraska,Other,17234,794379,0.021694934030229904
2014,Nebraska,Republican,475064,794379,0.5980319217904804
2015,Nebraska,Republican,475064,794379,0.5980319217904804
2016,Nebraska,Republican,475064,794379,0.5980319217904804
2014,Nevada,Democrat,531373,1014918,0.5235624947040056
2015,Nevada,Democrat,531373,1014918,0.5235624947040056
2016,Nevada,Democrat,531373,1014918,0.5235624947040056
2014,Nevada,Other,19978,1014918,0.019684348883358065
2015,Nevada,Other,19978,1014918,0.019684348883358065
2016,Nevada,Other,19978,1014918,0.019684348883358065
2014,Nevada,Republican,463567,1014918,0.4567531564126363
2015,Nevada,Republican,463567,1014918,0.4567531564126363
2016,Nevada,Republican,463567,1014918,0.4567531564126363
2014,New Hampshire,Democrat,369561,710972,0.5197968415071198
2015,New Hampshire,Democrat,369561,710972,0.5197968415071198
2016,New Hampshire,Democrat,369561,710972,0.5197968415071198
2014,New Hampshire,Other,11493,710972,0.016165193565991345
2015,New Hampshire,Other,11493,710972,0.016165193565991345
2016,New Hampshire,Other,11493,710972,0.016165193565991345
2014,New Hampshire,Republican,329918,710972,0.4640379649268888
2015,New Hampshire,Republican,329918,710972,0.4640379649268888
2016,New Hampshire,Republican,329918,710972,0.4640379649268888
2014,New Jersey,Democrat,2122786,3638499,0.5834235491063761
2015,New Jersey,Democrat,2122786,3638499,0.5834235491063761
2016,New Jersey,Democrat,2122786,3638499,0.5834235491063761
2014,New Jersey,Other,37625,3638499,0.01034080262218019
2015,New Jersey,Other,37625,3638499,0.01034080262218019
2016,New Jersey,Other,37625,3638499,0.01034080262218019
2014,New Jersey,Republican,1478088,3638499,0.4062356482714438
2015,New Jersey,Republican,1478088,3638499,0.4062356482714438
2016,New Jersey,Republican,1478088,3638499,0.4062356482714438
2014,New Mexico,Democrat,415335,783758,0.5299276052046678
2015,New Mexico,Democrat,415335,783758,0.5299276052046678
2016,New Mexico,Democrat,415335,783758,0.5299276052046678
2014,New Mexico,Other,32635,783758,0.04163912840443096
2015,New Mexico,Other,32635,783758,0.04163912840443096
2016,New Mexico,Other,32635,783758,0.04163912840443096
2014,New Mexico,Republican,335788,783758,0.4284332663909013
2015,New Mexico,Republican,335788,783758,0.4284332663909013
2016,New Mexico,Republican,335788,783758,0.4284332663909013
2014,New York,Democrat,4324228,7116784,0.6076098417487449
2015,New York,Democrat,4324228,7116784,0.6076098417487449
2016,New York,Democrat,4324228,7116784,0.6076098417487449
2014,New York,Other,569159,7116784,0.07997418496894103
2015,New York,Other,569159,7116784,0.07997418496894103
2016,New York,Other,569159,7116784,0.07997418496894103
2014,New York,Republican,2223397,7116784,0.312415973282314
2015,New York,Republican,2223397,7116784,0.312415973282314
2016,New York,Republican,2223397,7116784,0.312415973282314
2014,North Carolina,Democrat,2178391,4505372,0.48350968577067555
2015,North Carolina,Democrat,2178391,4505372,0.48350968577067555
2016,North Carolina,Democrat,2178391,4505372,0.48350968577067555
2014,North Carolina,Other,56586,4505372,0.01255967320789493
2015,North Carolina,Other,56586,4505372,0.01255967320789493
2016,North Carolina,Other,56586,4505372,0.01255967320789493
2014,North Carolina,Republican,2270395,4505372,0.5039306410214295
2015,North Carolina,Republican,2270395,4505372,0.5039306410214295
2016,North Carolina,Republican,2270395,4505372,0.5039306410214295
2014,North Dakota,Democrat,124966,322932,0.38697310888979725
2015,North Dakota,Democrat,124966,322932,0.38697310888979725
2016,North Dakota,Democrat,124966,322932,0.38697310888979725
2014,North Dakota,Other,9646,322932,0.029870065524630573
2015,North Dakota,Other,9646,322932,0.029870065524630573
2016,North Dakota,Other,9646,322932,0.029870065524630573
2014,North Dakota,Republican,188320,322932,0.5831568255855722
2015,North Dakota,Republican,188320,322932,0.5831568255855722
2016,North Dakota,Republican,188320,322932,0.5831568255855722
2014,Ohio,Democrat,2827621,5580822,0.5066674765831987
2015,Ohio,Democrat,2827621,5580822,0.5066674765831987
2016,Ohio,Democrat,2827621,5580822,0.5066674765831987
2014,Ohio,Other,91794,5580822,0.01644811463257563
2015,Ohio,Other,91794,5580822,0.01644811463257563
2016,Ohio,Other,91794,5580822,0.01644811463257563
2014,Ohio,Republican,2661407,5580822,0.47688440878422567
2015,Ohio,Republican,2661407,5580822,0.47688440878422567
2016,Ohio,Republican,2661407,5580822,0.47688440878422567
2014,Oklahoma,Democrat,443547,1334872,0.3322768025698344
2015,Oklahoma,Democrat,443547,1334872,0.3322768025698344
2016,Oklahoma,Democrat,443547,1334872,0.3322768025698344
2014,Oklahoma,Republican,891325,1334872,0.6677231974301656
2015,Oklahoma,Republican,891325,1334872,0.6677231974301656
2016,Oklahoma,Republican,891325,1334872,0.6677231974301656
2014,Oregon,Democrat,970488,1789270,0.54239326652769
2015,Oregon,Democrat,970488,1789270,0.54239326652769
2016,Oregon,Democrat,970488,1789270,0.54239326652769
2014,Oregon,Other,64607,1789270,0.03610802170717667
2015,Oregon,Other,64607,1789270,0.03610802170717667
2016,Oregon,Other,64607,1789270,0.03610802170717667
2014,Oregon,Republican,754175,1789270,0.42149871176513326
2015,Oregon,Republican,754175,1789270,0.42149871176513326
2016,Oregon,Republican,754175,1789270,0.42149871176513326
2014,Pennsylvania,Democrat,2990274,5742040,0.520768577021407
2015,Pennsylvania,Democrat,2990274,5742040,0.520768577021407
2016,Pennsylvania,Democrat,2990274,5742040,0.520768577021407
2014,Pennsylvania,Other,71332,5742040,0.012422762641848542
2015,Pennsylvania,Other,71332,5742040,0.012422762641848542
2016,Pennsylvania,Other,71332,5742040,0.012422762641848542
2014,Pennsylvania,Republican,2680434,5742040,0.46680866033674445
2015,Pennsylvania,Republican,2680434,5742040,0.46680866033674445
2016,Pennsylvania,Republican,2680434,5742040,0.46680866033674445
2014,Rhode Island,Democrat,279677,446049,0.627009588632639
2015,Rhode Island,Democrat,279677,446049,0.627009588632639
2016,Rhode Island,Democrat,279677,446049,0.627009588632639
2014,Rhode Island,Other,9168,446049,0.020553795659221295
2015,Rhode Island,Other,9168,446049,0.020553795659221295
2016,Rhode Island,Other,9168,446049,0.020553795659221295
2014,Rhode Island,Republican,157204,446049,0.35243661570813967
2015,Rhode Island,Republican,157204,446049,0.35243661570813967
2016,Rhode Island,Republican,157204,446049,0.35243661570813967
2014,South Carolina,Democrat,865941,1964118,0.4408803340736147
2015,South Carolina,Democrat,865941,1964118,0.4408803340736147
2016,South Carolina,Democrat,865941,1964118,0.4408803340736147
2014,South Carolina,Other,26532,1964118,0.013508353367771182
2015,South Carolina,Other,26532,1964118,0.013508353367771182
2016,South Carolina,Other,26532,1964118,0.013508353367771182
2014,South Carolina,Republican,1071645,1964118,0.5456113125586141
2015,South Carolina,Republican,1071645,1964118,0.5456113125586141
2016,South Carolina,Republican,1071645,1964118,0.5456113125586141
2014,South Dakota,Democrat,145039,363815,0.3986614075835246
2015,South Dakota,Democrat,145039,363815,0.3986614075835246
2016,South Dakota,Democrat,145039,363815,0.3986614075835246
2014,South Dakota,Other,8166,363815,0.022445473661064003
2015,South Dakota,Other,8166,363815,0.022445473661064003
2016,South Dakota,Other,8166,363815,0.022445473661064003
2014,South Dakota,Republican,210610,363815,0.5788931187554114
2015,South Dakota,Republican,210610,363815,0.5788931187554114
2016,South Dakota,Republican,210610,363815,0.5788931187554114
2014,Tennessee,Democrat,960709,2458577,0.39075814993795194
2015,Tennessee,Democrat,960709,2458577,0.39075814993795194
2016,Tennessee,Democrat,960709,2458577,0.39075814993795194
2014,Tennessee,Other,35538,2458577,0.014454702862672189
2015,Tennessee,Other,35538,2458577,0.014454702862672189
2016,Tennessee,Other,35538,2458577,0.014454702862672189
2014,Tennessee,Republican,1462330,2458577,0.5947871471993759
2015,Tennessee,Republican,1462330,2458577,0.5947871471993759
2016,Tennessee,Republican,1462330,2458577,0.5947871471993759
2014,Texas,Democrat,3308124,7993851,0.41383358283760857
2015,Texas,Democrat,3308124,7993851,0.41383358283760857
2016,Texas,Democrat,3308124,7993851,0.41383358283760857
2014,Texas,Other,115884,7993851,0.014496642481827594
2015,Texas,Other,115884,7993851,0.014496642481827594
2016,Texas,Other,115884,7993851,0.014496642481827594
2014,Texas,Republican,4569843,7993851,0.5716697746805639
2015,Texas,Republican,4569843,7993851,0.5716697746805639
2016,Texas,Republican,4569843,7993851,0.5716697746805639
2014,Utah,Democrat,251813,1017440,0.2474966582796037
2015,Utah,Democrat,251813,1017440,0.2474966582796037
2016,Utah,Democrat,251813,1017440,0.2474966582796037
2014,Utah,Other,25027,1017440,0.024598010693505267
2015,Utah,Other,25027,1017440,0.024598010693505267
2016,Utah,Other,25027,1017440,0.024598010693505267
2014,Utah,Republican,740600,1017440,0.727905331026891
2015,Utah,Republican,740600,1017440,0.727905331026891
2016,Utah,Republican,740600,1017440,0.727905331026891
2014,Vermont,Democrat,199239,299290,0.665705503023823
2015,Vermont,Democrat,199239,299290,0.665705503023823
2016,Vermont,Democrat,199239,299290,0.665705503023823
2014,Vermont,Other,7353,299290,0.024568144608907747
2015,Vermont,Other,7353,299290,0.024568144608907747
2016,Vermont,Other,7353,299290,0.024568144608907747
2014,Vermont,Republican,92698,299290,0.3097263523672692
2015,Vermont,Republican,92698,299290,0.3097263523672692
2016,Vermont,Republican,92698,299290,0.3097263523672692
2014,Virginia,Democrat,1971820,3854489,0.5115645679621864
2015,Virginia,Democrat,1971820,3854489,0.5115645679621864
2016,Virginia,Democrat,1971820,3854489,0.5115645679621864
2014,Virginia,Other,60147,3854489,0.01560440307392238
2015,Virginia,Other,60147,3854489,0.01560440307392238
2016,Virginia,Other,60147,3854489,0.01560440307392238
2014,Virginia,Republican,1822522,3854489,0.4728310289638912
2015,Virginia,Republican,1822522,3854489,0.4728310289638912
2016,Virginia,Republican,1822522,3854489,0.4728310289638912
2014,Washington,Democrat,1755396,3125516,0.5616339829967276
2015,Washington,Democrat,1755396,3125516,0.5616339829967276
2016,Washington,Democrat,1755396,3125516,0.5616339829967276
2014,Washington,Other,79450,3125516,0.02541980268218112
2015,Washington,Other,79450,3125516,0.02541980268218112
2016,Washington,Other,79450,3125516,0.02541980268218112
2014,Washington,Republican,1290670,3125516,0.4129462143210913
2015,Washington,Republican,1290670,3125516,0.4129462143210913
2016,Washington,Republican,1290670,3125516,0.4129462143210913
2014,West Virginia,Democrat,238269,670438,0.3553930415638732
2015,West Virginia,Democrat,238269,670438,0.3553930415638732
2016,West Virginia,Democrat,238269,670438,0.3553930415638732
2014,West Virginia,Other,14514,670438,0.021648534241794172
2015,West Virginia,Other,14514,670438,0.021648534241794172
2016,West Virginia,Other,14514,670438,0.021648534241794172
2014,West Virginia,Republican,417655,670438,0.6229584241943327
2015,West Virginia,Republican,417655,670438,0.6229584241943327
2016,West Virginia,Republican,417655,670438,0.6229584241943327
2014,Wisconsin,Democrat,1620985,3071434,0.5277616253515459
2015,Wisconsin,Democrat,1620985,3071434,0.5277616253515459
2016,Wisconsin,Democrat,1620985,3071434,0.5277616253515459
2014,Wisconsin,Other,39483,3071434,0.01285490751225649
2015,Wisconsin,Other,39483,3071434,0.01285490751225649
2016,Wisconsin,Other,39483,3071434,0.01285490751225649
2014,Wisconsin,Republican,1410966,3071434,0.4593834671361976
2015,Wisconsin,Republican,1410966,3071434,0.4593834671361976
2016,Wisconsin,Republican,1410966,3071434,0.4593834671361976
2014,Wyoming,Democrat,69286,250701,0.2763690611525283
2015,Wyoming,Democrat,69286,250701,0.2763690611525283
2016,Wyoming,Democrat,69286,250701,0.2763690611525283
2014,Wyoming,Other,10453,250701,0.04169508697611896
2015,Wyoming,Other,10453,250701,0.04169508697611896
2016,Wyoming,Other,10453,250701,0.04169508697611896
2014,Wyoming,Republican,170962,250701,0.6819358518713527
2015,Wyoming,Republican,170962,250701,0.6819358518713527
2016,Wyoming,Republican,170962,250701,0.6819358518713527
2017,Alabama,Democrat,729547,2123372,0.3435794575797364
2018,Alabama,Democrat,729547,2123372,0.3435794575797364
2019,Alabama,Democrat,729547,2123372,0.3435794575797364
2020,Alabama,Democrat,729547,2123372,0.3435794575797364
2017,Alabama,Other,75570,2123372,0.03558961877617299
2018,Alabama,Other,75570,2123372,0.03558961877617299
2019,Alabama,Other,75570,2123372,0.03558961877617299
2020,Alabama,Other,75570,2123372,0.03558961877617299
2017,Alabama,Republican,1318255,2123372,0.6208309236440906
2018,Alabama,Republican,1318255,2123372,0.6208309236440906
2019,Alabama,Republican,1318255,2123372,0.6208309236440906
2020,Alabama,Republican,1318255,2123372,0.6208309236440906
2017,Alaska,Democrat,116454,318608,0.36550871290111986
2018,Alaska,Democrat,116454,318608,0.36550871290111986
2019,Alaska,Democrat,116454,318608,0.36550871290111986
2020,Alaska,Democrat,116454,318608,0.36550871290111986
2017,Alaska,Other,38767,318608,0.12167616632350725
2018,Alaska,Other,38767,318608,0.12167616632350725
2019,Alaska,Other,38767,318608,0.12167616632350725
2020,Alaska,Other,38767,318608,0.12167616632350725
2017,Alaska,Republican,163387,318608,0.5128151207753728
2018,Alaska,Republican,163387,318608,0.5128151207753728
2019,Alaska,Republican,163387,318608,0.5128151207753728
2020,Alaska,Republican,163387,318608,0.5128151207753728
2017,Arizona,Democrat,1161209,2573165,0.45127654075817136
2018,Arizona,Democrat,1161209,2573165,0.45127654075817136
2019,Arizona,Democrat,1161209,2573165,0.45127654075817136
2020,Arizona,Democrat,1161209,2573165,0.45127654075817136
2017,Arizona,Other,159555,2573165,0.062007294518618125
2018,Arizona,Other,159555,2573165,0.062007294518618125
2019,Arizona,Other,159555,2573165,0.062007294518618125
2020,Arizona,Other,159555,2573165,0.062007294518618125
2017,Arizona,Republican,1252401,2573165,0.4867161647232105
2018,Arizona,Republican,1252401,2573165,0.4867161647232105
2019,Arizona,Republican,1252401,2573165,0.4867161647232105
2020,Arizona,Republican,1252401,2573165,0.4867161647232105
